"","NES"
"PAK2",2.21791768611683
"PRKCD",-0.866869795389825
"PIM2",-0.404469923210735
"CAMK2A",-1.8095883064896
"CSNK2A1",4.50462679113444
"AURKA",0.284714686964348
"LATS1",-0.336932330818215
"VRK1",0.801015047073175
"CDK7",3.75255331820854
"EGFR",0.629315829351275
"STK38",-0.823478914500712
"PRKAG2",-0.128404297865375
"PRKAA1",-1.02534127635621
"CDK12",1.01822692226365
"CAMK4",-1.23628822688134
"PRKAA2",-0.57338793266776
"CSNK1E",-0.773290793728348
"MAPKAPK2",-1.71630433436629
"CAMK1",-1.04949603505107
"RPS6KB1",-0.663111221004672
"AKT1",0.879659511105352
"TBK1",0.434073591999665
"PRKCB",-0.676412362788449
"PRKCI",0.052048327411877
"CDKL5",0.744942690751589
"MAPK11",0.531361718747232
"RAF1",-1.11991096205469
"CDK11B",1.17197346839611
"GSK3B",1.03857359585513
"MARK3",0.455854540843483
"AKT2",0.335685274705599
"PRKCQ",-0.00429381172150029
"RPS6KA1",0.279851385104477
"CHEK1",-0.435965630008416
"PRKACA",-0.169856490903508
"MARK1",-0.00495810858093724
"MAPK3",0.54522644694433
"CSNK1D",-1.54426810209578
"CDK16",0.605383073066978
"SRC",-0.760770679403106
"CDK3",1.49965358264714
"RPS6KA4",0.677428601325334
"GRK5",0.464392126877676
"PRKCE",-1.73268979349553
"RPS6KB2",-0.215665903039551
"UHMK1",1.12503543291219
"MAPK9",0.973945851469724
"CDK1",2.38663433299634
"PRKG1",-1.75310508568763
"PAK4",-2.06706366084435
"MARK2",1.39904342000955
"MAPKAPK5",1.72644897317845
"ABL1",-0.216719659537097
"CSNK1A1",0.171609714391558
"CHEK2",1.4090012162587
"CAMK2D",-0.30439091923307
"PRKCA",-1.13300975830114
"RIPK2",-0.821508076026946
"HIPK2",-0.451436833636232
"CLK1",0.300890323514095
"CDK10",1.17197346839611
"PRKDC",0.41914678636885
"PKN1",-0.201006067103971
"PRKD1",0.0778485795626565
"MAP3K7",1.06144429425017
"MET",-1.13247211299242
"ULK3",0.214265846871636
"CLK2",0.445904648114459
"SGK1",1.67827866898424
"MTOR",-0.968517636909699
"CDC7",3.07155126190425
"MAPK8",2.13992783055428
"MAPKAPK3",0.252538765837957
"MAPK1",-0.459086724264233
"DYRK1B",0.130960602600284
"MKNK2",-0.129191669128862
"IKBKE",0.0373807435545409
"MAPK12",-0.965467912609621
"MAP2K4",0.741266771361906
"PDPK1",-2.57326669595939
"MAP3K5",-0.842068690648294
"CDK4",1.3839818339083
"CSNK2A2",2.28966716685799
"SIK1",-1.47755112205991
"MAPK14",-0.00196949366429312
"CDK2",3.65758908707236
"NLK",-1.09585233986722
"RET",-0.131167204949267
"GSK3A",1.74729723490655
"LIMK2",-1.44868709748852
"DYRK1A",-1.37164624853199
"PLK1",-0.728090533075072
"PRKCH",-0.171943598980844
"CDK19",1.17197346839611
"CDK5",1.88267980999971
"PRKD2",0.226863072965305
"ROCK1",0.170922322261774
"PRKG2",-1.00413583823316
"CDK9",2.54316601130776
"MAP2K1",-0.989803204691461
"PAK1",0.309301166274938
"MAP2K3",0.110193149098819
"CDK6",1.42257974214934
"CDK8",1.17197346839611
"PRKAB1",-0.632664956501269
"MAP2K2",-0.588244417084393
"MAPK7",1.39669975135483
"PIM1",-2.03657973657583
"DYRK2",3.21332970697665
"ATR",0.811416975984477
"LIMK1",1.0146475836479
"ROCK2",0.135268127638307
"WNK1",1.1964672669959
"INSR",-1.45967532230632
"RPS6KA3",-0.581190626121349
"LATS2",-0.453280201613989
"CSNK2B",-0.877465732211502
"SGK3",1.15595227225678
"ATM",0.526086952929338
"MAPK13",0.288327983061903
"RPS6KA2",0.146564185248485
"AURKB",1.8554589222233
"PRKCZ",-0.41002365616357
"SRPK2",-2.15363495415435
"PRKX",-1.00447046936361
"MAPK6",-1.07079158215463
"CAMK2G",-1.59210326924635
"PDK1",-0.662971476297695
"BRAF",-1.72323525589234
"NEK9",-2.19941343572444
"PRKCG",-0.832257053372415
"SRPK1",0.626470959538996
"WEE1",1.03991800534732
"PLK3",1.51399326308079
"CDK13",1.17197346839611
"MAPK10",1.98092253515723
"CDK20",1.17197346839611
"AKT3",0.100746517031199
"RPS6KA5",-0.696938920120279
"STK17A",0.513486474965675
"MAPK15",0.233411504541031
"TTBK1",-2.47082933645319
"MAPK4",-0.708154144961239
"PRKAG3",-0.128404297865375
"PRKAG1",-0.128404297865375
"PRKAB2",-0.128404297865375
"MLST8",0.130008095202437
"DEPTOR",0.130008095202437
"CCNE2",2.1092052903031
"PPP2CA",-0.286794097699059
"CDK5R1",-1.86060991067437
"PPP3CA",2.45671576332747
"CCNB1",1.13013481458954
"CCNA2",1.58900176789598
"PRKACG",-0.907607806059915
"PPP1CC",0.512846462835925
"AKT1S1",0.130008095202437
"RPTOR",0.130008095202437
"PPP2CB",0.395200036672486
"PPP1CA",0.681359768193621
"PPP1CB",0.25861155612181
"PPP3CB",2.45671576332747
"PPP3CC",2.45671576332747
"PTPRG",0.574054429836349
"PPM1D",0.875808345069578
"SGK2",0.873766211651853
"CDK17",2.43165553790433
"DYRK4",0.757361537089548
"PRKY",-1.06645604359326
"PIK3C3",-0.102653567213719
"CLK3",1.12441695935206
"RSKR",-0.0269797541652049
"CDK18",1.17197346839611
"RPS6KA6",-0.0269797541652049
